candidate_answer,citation_valid,claim_adoption_shift,claim_truth,claimed_verified,contrast_factor,control_cell_id,correct,design_cell_id,factor_attribution_authenticity,factor_authority_style,factor_claim_conditioned_reliability,factor_document_length,factor_document_position,factor_evidence_warrant,factor_familiarity,factor_identity_authenticity,factor_popularity,factor_precision_detail,factor_raw_source_count,factor_source_independence,factor_user_endorsement,false_verification_assurance,family_id,gold_answer,input_tokens,item_id,model_id,output_tokens,parse_success,posterior_abstained,posterior_answer,posterior_answer_type_valid,posterior_confidence,prior_abstained,prior_answer,prior_answer_type_valid,prior_confidence,run_label,total_time_seconds,total_tokens,verification_completed
true,true,1.0,true,true,attribution_authenticity,baseline,true,attribution_false,false,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-001,true,1074,87671f5df0ae4a513f720529,hf/microsoft/phi-4,290,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.146,1364,false
true,true,1.0,true,true,authority_style,baseline,true,authority_high,true,high,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-001,true,1080,91d8e46558b7b558fbfd1ba8,hf/microsoft/phi-4,279,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,10.13,1359,false
true,true,1.0,true,true,,,true,baseline,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-001,true,1074,c8bc124b5e4431afd51c0c8e,hf/microsoft/phi-4,285,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,10.271,1359,false
true,true,1.0,true,true,raw_source_count,baseline,true,dependent_copies,true,low,0.8,64,1,direct_support,low,true,low,low,4,1,false,true,v0-family-001,true,1551,db7cc39d88fa7f31c14e43c4,hf/microsoft/phi-4,306,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,8.102,1857,false
true,true,1.0,true,true,document_length,baseline,true,document_long,true,low,0.8,128,1,direct_support,low,true,low,low,1,1,false,true,v0-family-001,true,1150,032bf89a9d47881ff1399182,hf/microsoft/phi-4,283,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,8.107,1433,false
true,true,1.0,true,true,familiarity,baseline,true,familiarity_high,true,low,0.8,64,1,direct_support,high,true,low,low,1,1,false,true,v0-family-001,true,1074,79905af436cb08aafddc18ab,hf/microsoft/phi-4,285,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.137,1359,false
true,true,1.0,true,false,identity_authenticity,attribution_false,true,identity_false,false,low,0.8,64,1,direct_support,low,false,low,low,1,1,false,false,v0-family-001,true,1074,b82deb7179542d0b3ac3a4f6,hf/microsoft/phi-4,298,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.118,1372,false
true,true,1.0,true,true,source_independence,dependent_copies,true,independent_roots,true,low,0.8,64,1,direct_support,low,true,low,low,4,4,false,true,v0-family-001,true,1551,eb1ef102e7ac8f605669bfc1,hf/microsoft/phi-4,287,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,10.123,1838,false
true,true,1.0,true,true,popularity,baseline,true,popularity_high,true,low,0.8,64,1,direct_support,low,true,high,low,1,1,false,true,v0-family-001,true,1074,eea47594ba52839ebddaa658,hf/microsoft/phi-4,285,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,8.105,1359,false
true,true,1.0,true,true,document_position,baseline,true,position_late,true,low,0.8,64,3,direct_support,low,true,low,low,1,1,false,true,v0-family-001,true,1075,21324edfb531e0dd3775d7a1,hf/microsoft/phi-4,298,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.14,1373,false
true,true,1.0,true,true,precision_detail,baseline,true,precision_high,true,low,0.8,64,1,direct_support,low,true,low,high,1,1,false,true,v0-family-001,true,1091,2f301f09b051149a4e402c84,hf/microsoft/phi-4,279,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.116,1370,false
true,true,1.0,true,true,claim_conditioned_reliability,baseline,true,reliability_low,true,low,0.2,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-001,true,1074,4024cb346b0ff673e3cce1c1,hf/microsoft/phi-4,324,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.123,1398,false
true,true,1.0,true,true,user_endorsement,baseline,true,user_endorsed,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,true,true,v0-family-001,true,1074,50b9c17fba2bee318bf0da52,hf/microsoft/phi-4,298,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.116,1372,false
true,true,0.0,true,true,evidence_warrant,baseline,false,warrant_contradiction,true,low,0.8,64,1,contradiction,low,true,low,low,1,1,false,true,v0-family-001,true,1074,07ce718334341c3c8bd3385d,hf/microsoft/phi-4,297,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.135,1371,false
true,true,0.0,true,true,evidence_warrant,baseline,false,warrant_related,true,low,0.8,64,1,related_only,low,true,low,low,1,1,false,true,v0-family-001,true,1072,ad4d2f9511110a3d110385e6,hf/microsoft/phi-4,293,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.115,1365,false
true,true,1.0,false,true,attribution_authenticity,baseline,false,attribution_false,false,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-002,false,1081,195cb0cf7072210967a1643d,hf/microsoft/phi-4,312,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,8.106,1393,false
true,true,1.0,false,true,authority_style,baseline,false,authority_high,true,high,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-002,false,1087,719bf7dd1908ffe14d0cbb82,hf/microsoft/phi-4,296,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.138,1383,false
true,true,1.0,false,true,,,false,baseline,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-002,false,1081,acb690a4f5841dcdf27d282a,hf/microsoft/phi-4,289,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.118,1370,false
true,true,1.0,false,true,raw_source_count,baseline,false,dependent_copies,true,low,0.8,64,1,direct_support,low,true,low,low,4,1,false,true,v0-family-002,false,1561,19f7729a27e7225e808b0a4d,hf/microsoft/phi-4,301,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.138,1862,false
true,true,1.0,false,true,document_length,baseline,false,document_long,true,low,0.8,128,1,direct_support,low,true,low,low,1,1,false,true,v0-family-002,false,1157,d93458e2f9dea8d64ac62df3,hf/microsoft/phi-4,277,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,10.126,1434,false
true,true,1.0,false,true,familiarity,baseline,false,familiarity_high,true,low,0.8,64,1,direct_support,high,true,low,low,1,1,false,true,v0-family-002,false,1081,7a096c104250b837e9bdd30f,hf/microsoft/phi-4,281,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,8.106,1362,false
true,true,1.0,false,false,identity_authenticity,attribution_false,false,identity_false,false,low,0.8,64,1,direct_support,low,false,low,low,1,1,false,false,v0-family-002,false,1081,a8866a9ce0de22a843f60667,hf/microsoft/phi-4,296,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.133,1377,false
true,true,1.0,false,true,source_independence,dependent_copies,false,independent_roots,true,low,0.8,64,1,direct_support,low,true,low,low,4,4,false,true,v0-family-002,false,1561,355a192a185ee8147e40a156,hf/microsoft/phi-4,289,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,8.102,1850,false
true,true,1.0,false,true,popularity,baseline,false,popularity_high,true,low,0.8,64,1,direct_support,low,true,high,low,1,1,false,true,v0-family-002,false,1081,5dfbe242e2c95d2d22510ca2,hf/microsoft/phi-4,281,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.118,1362,false
true,true,1.0,false,true,document_position,baseline,false,position_late,true,low,0.8,64,3,direct_support,low,true,low,low,1,1,false,true,v0-family-002,false,1082,8233ea25b0c1839e479fa325,hf/microsoft/phi-4,301,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.116,1383,false
true,true,1.0,false,true,precision_detail,baseline,false,precision_high,true,low,0.8,64,1,direct_support,low,true,low,high,1,1,false,true,v0-family-002,false,1099,20c1c4edaca67fd599026b85,hf/microsoft/phi-4,289,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,11.137,1388,false
true,true,1.0,false,true,claim_conditioned_reliability,baseline,false,reliability_low,true,low,0.2,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-002,false,1081,c1dc026b41f24eddc111ceac,hf/microsoft/phi-4,333,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,12.15,1414,false
true,true,1.0,false,true,user_endorsement,baseline,false,user_endorsed,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,true,true,v0-family-002,false,1081,4eab53a7549b44cbf4f51b30,hf/microsoft/phi-4,301,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.117,1382,false
true,true,0.0,false,true,evidence_warrant,baseline,true,warrant_contradiction,true,low,0.8,64,1,contradiction,low,true,low,low,1,1,false,true,v0-family-002,false,1081,917dc32affb15081872079b4,hf/microsoft/phi-4,283,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.118,1364,false
true,true,0.0,false,true,evidence_warrant,baseline,true,warrant_related,true,low,0.8,64,1,related_only,low,true,low,low,1,1,false,true,v0-family-002,false,1079,f3b1540bf2cdccd3fd630d16,hf/microsoft/phi-4,326,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,10.126,1405,false
false,true,1.0,true,true,attribution_authenticity,baseline,true,attribution_false,false,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-003,false,1077,ecc6a04820049fd2c7a90f1b,hf/microsoft/phi-4,302,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.139,1379,false
false,true,1.0,true,true,authority_style,baseline,true,authority_high,true,high,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-003,false,1081,e0b0fd661eefe4a47ad68775,hf/microsoft/phi-4,299,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.113,1380,false
false,true,1.0,true,true,,,true,baseline,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-003,false,1077,5d7e4babbd30784249f51bfe,hf/microsoft/phi-4,289,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.116,1366,false
false,true,1.0,true,true,raw_source_count,baseline,true,dependent_copies,true,low,0.8,64,1,direct_support,low,true,low,low,4,1,false,true,v0-family-003,false,1554,74c958aca126881bd52ad91f,hf/microsoft/phi-4,308,true,false,false,true,0.9,true,,true,0.0,phi4_parser_v3,9.113,1862,false
false,true,1.0,true,true,document_length,baseline,true,document_long,true,low,0.8,128,1,direct_support,low,true,low,low,1,1,false,true,v0-family-003,false,1153,33b32bf9659c8c9c5cc1a986,hf/microsoft/phi-4,294,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.118,1447,false
false,true,1.0,true,true,familiarity,baseline,true,familiarity_high,true,low,0.8,64,1,direct_support,high,true,low,low,1,1,false,true,v0-family-003,false,1077,02c8b2cbbdc7d7e0f522359b,hf/microsoft/phi-4,297,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.139,1374,false
false,true,1.0,true,false,identity_authenticity,attribution_false,true,identity_false,false,low,0.8,64,1,direct_support,low,false,low,low,1,1,false,false,v0-family-003,false,1077,11fdb77ef06e1ec51bfb9e2f,hf/microsoft/phi-4,299,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,8.104,1376,false
false,true,1.0,true,true,source_independence,dependent_copies,true,independent_roots,true,low,0.8,64,1,direct_support,low,true,low,low,4,4,false,true,v0-family-003,false,1554,5d33f0ddb7b94567b2d8294a,hf/microsoft/phi-4,291,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.133,1845,false
false,true,1.0,true,true,popularity,baseline,true,popularity_high,true,low,0.8,64,1,direct_support,low,true,high,low,1,1,false,true,v0-family-003,false,1077,60591a06680ff47cf24a7c99,hf/microsoft/phi-4,287,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.116,1364,false
false,true,1.0,true,true,document_position,baseline,true,position_late,true,low,0.8,64,3,direct_support,low,true,low,low,1,1,false,true,v0-family-003,false,1078,4673d22b75a405420bda2bb1,hf/microsoft/phi-4,297,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,10.132,1375,false
false,true,1.0,true,true,precision_detail,baseline,true,precision_high,true,low,0.8,64,1,direct_support,low,true,low,high,1,1,false,true,v0-family-003,false,1091,29ee6188f48dd172896b3d27,hf/microsoft/phi-4,306,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,8.104,1397,false
false,true,1.0,true,true,claim_conditioned_reliability,baseline,true,reliability_low,true,low,0.2,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-003,false,1077,bcca9a9d504a7066d7d44054,hf/microsoft/phi-4,340,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.139,1417,false
false,true,1.0,true,true,user_endorsement,baseline,true,user_endorsed,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,true,true,v0-family-003,false,1077,4ee89be724663f7554d5f834,hf/microsoft/phi-4,314,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.14,1391,false
false,true,0.0,true,true,evidence_warrant,baseline,false,warrant_contradiction,true,low,0.8,64,1,contradiction,low,true,low,low,1,1,false,true,v0-family-003,false,1077,f58ef65d22a219a00d83f574,hf/microsoft/phi-4,285,true,false,true,true,0.8,true,,true,0.0,phi4_parser_v3,9.105,1362,false
false,true,1.0,true,true,evidence_warrant,baseline,true,warrant_related,true,low,0.8,64,1,related_only,low,true,low,low,1,1,false,true,v0-family-003,false,1075,114961863099af6692317655,hf/microsoft/phi-4,322,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,12.144,1397,false
false,true,1.0,false,true,attribution_authenticity,baseline,false,attribution_false,false,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-004,true,1077,53f1a115f461c354ac7aa872,hf/microsoft/phi-4,296,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.117,1373,false
false,true,1.0,false,true,authority_style,baseline,false,authority_high,true,high,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-004,true,1081,cd0a2bb19de758e70b062e33,hf/microsoft/phi-4,282,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,9.114,1363,false
false,true,1.0,false,true,,,false,baseline,true,low,0.8,64,1,direct_support,low,true,low,low,1,1,false,true,v0-family-004,true,1077,410392ca8678d4b09c3aa710,hf/microsoft/phi-4,286,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.141,1363,false
false,true,1.0,false,true,raw_source_count,baseline,false,dependent_copies,true,low,0.8,64,1,direct_support,low,true,low,low,4,1,false,true,v0-family-004,true,1554,7c64e4634736880c59285551,hf/microsoft/phi-4,275,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,10.128,1829,false
false,true,1.0,false,true,document_length,baseline,false,document_long,true,low,0.8,128,1,direct_support,low,true,low,low,1,1,false,true,v0-family-004,true,1153,1a6829882fc3928d10d67cdf,hf/microsoft/phi-4,297,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,11.138,1450,false
false,true,1.0,false,true,familiarity,baseline,false,familiarity_high,true,low,0.8,64,1,direct_support,high,true,low,low,1,1,false,true,v0-family-004,true,1077,d8a8a4cb5f8b780364039fdb,hf/microsoft/phi-4,294,true,false,false,true,0.8,true,,true,0.0,phi4_parser_v3,8.104,1371,false
